Source	Sid	Equa
C204CRNt	RE4892F0E	MNXR96401
ACRNtm	RE4CBB3E4	MNXR95412
FAOXC183806m	RE4FD51EF	MNXR99326
NTD10	RE502D1FD	MNXR102029
NH4tn	RE53397C0	MNXR101950
GLACter	RE55B5B56	MNXR100149
PMTCOAtx	RE5607056	MNXR103046
FAOXC241181x	RE5DB9279	MNXR99361
GLYCK2	RE5F8030E	MNXR100329
NTD4	RE6030202	MNXR102034
HKt	RE6160B55	MNXR100657
H2Otm	RE658D100	MNXR98641
HMGCOASi	RE661C8EB	MNXR100660
"FACOAL204;FACOAL204i"	RE6DE0DC0	MNXR99183
EX_thf_LPAREN_e_RPAREN_	RE7398837	MNXR98972
"P5CRxm;PRO1xm"	RE73D2ED2	MNXR102303
GLUDym	RE7A10E3C	MNXR100086
CPPPGO	RE7CA1416	MNXR96880
34DHPLACOX_LPAREN_NADP_RPAREN_	RE7CBE30E	MNXR94839
PPM	RE7E0E79F	MNXR103115
G3PD1	RE7F02BA9	MNXR99876
ARACHDt2	RE8B1C2E3	MNXR95918
SQLEr	RE8E0B672	MNXR104447
PPA	RE97914BB	MNXR100808
ALASm	RE984810	MNXR95695
THRGLYexR	RE99642ED	MNXR104841
PYRt2m	RE9AA9DF9	MNXR103385
3HBCOAHLm	RE9FD4F23	MNXR94891
FADtru	REA45AF0	MNXR99217
XANtx	REAEAEDE0	MNXR105226
MCLOR	REAF0E3FE	MNXR101419
EX_pnto_LPAREN_e_RPAREN_	REB67C836	MNXR98856
SARCStm	REB85D675	MNXR104273
THYMt	REBF85BE8	MNXR104853
CYTK8n	REC2ACE54	MNXR97059
DOLP_Lter	REC4C1414	MNXR97746
CYSGLNNaEx	REC5E4BB6	MNXR96998
DCK2n	REC97C5CE	MNXR97184
FRDPtr	REC9B4015	MNXR99646
SERGLNexR	RECA2258A	MNXR104341
2HBO	RECAAC30C	MNXR94796
NDPK6m	RECB20592	MNXR101938
TYRDOPO	RED02FB63	MNXR104991
NADPtxu	RED21EF10	MNXR101896
SPHINGStl	RED4D0DBE	MNXR104484
ACOAD10m	RED728980	MNXR95306
FUM	RED78552D	MNXR99705
RTOTAL2CRNCPT2	REDA8B49E	MNXR104099
LRAT2	REDF3F898	MNXR101238
CYTK10	REE108210	MNXR97048
DNDPt41m	REE109777	MNXR97654
PSSA1_hs	REE2C7C35	MNXR103274
THRCYSNaEx	REE47B6B1	MNXR104838
O2tm	REE53889C	MNXR102090
MGCHrm	REEA91000	MNXR101513
ACONT	REEB83731	MNXR95384
3SPYRSP	REECB705C	MNXR94981
EX_ile_L_LPAREN_e_RPAREN_	REEFDC248	MNXR98677
34DHPLACOX	REF5861E2	MNXR94831
DNDPt12m	REF8B540B	MNXR97630
FPGS4m	REFABE379	MNXR99627
PYDXtr	REFDF2D3E	MNXR103370
DNDPt5m	RF02A2A90	MNXR97673
LNELDCt	RF032D4FB	MNXR101103
FAS180COA	RF0410BF5	MNXR99405
H2Otp	RF045AAB8	MNXR98641
HPYRtp	RF0863F0B	MNXR100702
EX_lac_L_LPAREN_e_RPAREN_	RF09B9634	MNXR98695
FAOXC1811603m	RF0C7D26C	MNXR99317
CYTK5n	RF0D5225B	MNXR97056
OCCOAtx	RF136548D	MNXR102138
SBPP3er	RF137EA97	MNXR104282
TTDCRNt	RF14020F8	MNXR104751
PI4P5K	RF156DA6E	MNXR102765
LGTHL	RF191F672	MNXR100355
NNATr	RF1991C64	MNXR101978
STCOAtx	RF1AACF49	MNXR104598
MI13PP	RF1F12AE3	MNXR101563
MMSAD1m	RF2E6D957	MNXR101662
INSt	RF3648FDA	MNXR100849
EX_val_L_LPAREN_e_RPAREN_	RF382895C	MNXR99031
5MTHFt2	RF384777	MNXR95089
CYTK7n	RF3A1D0D4	MNXR97058
C181CPT1	RF3AD6980	MNXR96396
HDCAtr	RF3AFC26B	MNXR99101
MTRI	RF3F26333	MNXR101759
AHCYStr	RF40018F1	MNXR95626
AM6SAD	RF40AA21C	MNXR95796
OPAHir	RF465B5BE	MNXR102200
2HBt2	RF4D39492	MNXR94797
EX_acetone_LPAREN_e_RPAREN_	RF4DE92E0	MNXR98200
PRPPS	RF506038C	MNXR103215
GLYt7_LPAREN_311_RPAREN_r	RF5B8E8D	MNXR100370
MCD	RF5D5FD4A	MNXR101412
LCYSTCBOXL	RF5D8FB16	MNXR101032
NaKt	RF6215834	MNXR102073
LSTO2r	RF6361831	MNXR101245
EX_ac_LPAREN_e_RPAREN_	RF63CDCCF	MNXR98196
DGNSKm	RF65BCB5	MNXR97323
ALADGLNexR	RF68799E3	MNXR95685
PROt4_LPAREN_2_RPAREN_r	RF687DCE3	MNXR103212
FATP6t	RF6E44C04	MNXR99455
METtec	RF6F5A55B	MNXR101493
GTHP	RF77F3F23	MNXR100446
"DNDPt16m;DNDPt8m"	RF7BF6FE9	MNXR97634
COAtn	RF857D268	MNXR96815
UDPDOLPT_L	RF8679DA5	MNXR105050
THBPT4ACAMDASE	RF882C86E	MNXR104802
EX_co2_LPAREN_e_RPAREN_	RF93FEF67	MNXR98353
3HCO3_NAt	RF94560E9	MNXR94894
GALt1r	RF96ECE96	MNXR100025
PGMT	RF9C3EA19	MNXR102548
UMPK6n	RF9D95A70	MNXR105123
UDPGD	RF9FACACB	MNXR105063
THYOXt	RFA046B7E	MNXR104855
DALAxt	RFA34B3C6	MNXR95702
ADK3m	RFA745391	MNXR95452
UAGDP	RFAC9CB36	MNXR105033
PCRNtm	RFADCF2BD	MNXR102418
3MOX4HOXPGALDOX_LPAREN_NADP_RPAREN_	RFAEB4A17	MNXR94929
ALCD21_L	RFB06A543	MNXR95714
PYNP2r	RFB2F9386	MNXR103377
ARTFR44	RFB85B8C7	MNXR96013
ACO	RFBA0F246	MNXR95386
HGNTOR	RFBFD2C92	MNXR100628
3SALAASPm	RFC02BCFB	MNXR94977
FAEL204	RFC3E422D	MNXR99222
ASNTHRNaEx	RFC3E6C0	MNXR96062
EX_ncam_LPAREN_e_RPAREN_	RFCA0186A	MNXR98785
DOPAQNISO1	RFCDCB89A	MNXR97753
DOPACHRMISO	RFD05D574	MNXR97751
PRAIS	RFD24A972	MNXR103157
CYTD	RFD334FED	MNXR97039
PROt4	RFD4EBCC	MNXR103197
DNDPt52m	RFD960321	MNXR97665
CRNtuNa	RFDBE1843	MNXR96911
PGK	RFDE90BF1	MNXR102538
PAIL4P_HStn	RFE3A10CB	MNXR102334
TRIODTHYt	RFE4E7E55	MNXR104938
EX_Lcystin_LPAREN_e_RPAREN_	RFE5157CB	MNXR98186
TMDPP	RFE63F4E9	MNXR104887
EX_thL_LPAREN_e_RPAREN_	RFE6609A8	MNXR98977
HYPOE	RFE8FD7B4	MNXR100763
PE_HSter	RFEE2C32A	MNXR102505
GSNt4	RFF13EA37	MNXR100435
ADK1m	RFF651531	MNXR95450
PROSTGE2t2	RFF8D5C83	MNXR103202
LCADi	RFF94E201	MNXR101018
NAt5	RFFDF1770	MNXR101916
ALAGLNNaEx	RFFFCC525	MNXR95688
FACOAL1813	RFFFDA7F5	MNXR99171
